Page,Clicks,Impressions,CTR,Position
https://hackernoon.com/creating-ussd-applications-69e7d6911158,2716,32371,8.39%,7.83
https://hackernoon.com/xor-the-magical-bit-wise-operator-24d3012ed821,2713,125870,2.16%,13.18
https://hackernoon.com/top-cc-machine-learning-libraries-for-data-science-nl183wo1,2713,29158,9.30%,9.71
https://hackernoon.com/mariadb-phpmyadmin-docker-running-local-database-ok9q36ji,2703,69924,3.87%,12.87
https://hackernoon.com/how-to-see-exactly-who-google-thinks-you-are-and-then-turn-off-their-tracking-94e83183fe36,2702,38977,6.93%,15.31
https://hackernoon.com/low-cost-usb-rubber-ducky-pen-test-tool-for-3-using-digispark-and-duck2spark-5d59afc1910,2700,83810,3.22%,10.83
https://hackernoon.com/beginners-guide-to-interactive-rebasing-346a3f9c3a6d,2695,70597,3.82%,17.74
https://hackernoon.com/how-i-built-a-cms-and-why-you-shouldnt-daff6042413a,2690,40162,6.70%,22.3
https://hackernoon.com/products-and-solutions-do-you-know-the-difference-4ff9169cefe3,2687,62933,4.27%,12.89
https://hackernoon.com/git-push-and-pull-tips-and-tricks-7f9163539f02,2686,301293,0.89%,21.88
https://hackernoon.com/replacing-html-content-using-javascript-9a3d36c56cc,2678,63868,4.19%,18.24
https://hackernoon.com/api-testing-using-supertest-1f830ce838f1,2672,74606,3.58%,7.86
https://hackernoon.com/react-forms-with-formik-and-unit-testing-with-react-testing-library-j0b32c9,2670,27412,9.74%,15.63
https://hackernoon.com/3-javascript-performance-mistakes-you-should-stop-doing-ebf84b9de951,2654,47444,5.59%,20.21
https://hackernoon.com/limiting-your-api-requests-the-right-way-9608b661a0ce,2642,31624,8.35%,12.49
https://hackernoon.com/a-simple-python-reminder-app-m3k42wk,2640,13604,19.41%,12.61
https://hackernoon.com/the-5-key-measurements-of-product-success-e53594aabb47,2636,24999,10.54%,11.38
https://hackernoon.com/how-to-build-your-own-real-time-chat-app-like-whatsapp-9d1d058afd5b,2635,105909,2.49%,19.19
https://hackernoon.com/bitcoin-bubble-2020-whens-it-gonna-burst-gb1f3z6i,2623,31626,8.29%,9
https://hackernoon.com/list-of-50-top-cryptocurrency-exchanges-for-2020-ag1h44f9,2611,390450,0.67%,25.51
https://hackernoon.com/how-to-list-your-defi-token-on-uniswap-d4s3w7s,2611,36170,7.22%,14.25
https://hackernoon.com/exploring-the-aws-lambda-deployment-limits-9a8384b0bec3,2605,48742,5.34%,11.61
https://hackernoon.com/practical-machine-learning-ridge-regression-vs-lasso-a00326371ece,2603,35227,7.39%,9.1
https://hackernoon.com/how-to-access-spotify-without-3rd-party-vpns-db95ce708a30,2602,31921,8.15%,21.25
https://hackernoon.com/a-step-by-step-guide-to-creating-a-multi-step-form-lu593aow,2592,38229,6.78%,13.79
